USER_ID,ORDER_ID,PURCHASE_TS,PURCHASE _YEAR,PURCHASE_MONTH,SHIP_TS,TIME_TO_SHIP,PRODUCT_NAME,PRODUCT_ID,USD_PRICE,PURCHASE_PLATFORM,MARKETING_CHANNEL,ACCOUNT_CREATION_METHOD,COUNTRY_CODE,REGION
02157f8f,e122c8f5ad44060,1/1/2019,2019,1,1/2/2019,1,Nintendo Switch,8d0d,175.1,website,direct,unknown,IT,EMEA
12fd4613,96a4c4b658a10788,1/1/2019,2019,1,1/4/2019,3,JBL Quantum 100 Gaming Headset,ab0f,22.36,website,direct,mobile,IT,EMEA
32698d45,ff85496f03e23474,1/1/2019,2019,1,1/2/2019,1,Nintendo Switch,8d0d,168,website,affiliate,unknown,US,NA
3b1cdc64,eca1e1d002a26932,1/1/2019,2019,1,1/3/2019,2,Nintendo Switch,8d0d,155.42,website,direct,desktop,IT,EMEA
892b37e6,ff106a4901558262,1/1/2019,2019,1,1/4/2019,3,27in 4K gaming monitor,891b,312,website,affiliate,unknown,US,NA
4ce3061a,51cb708898534167,1/1/2019,2019,1,1/3/2019,2,Nintendo Switch,8d0d,168,website,direct,desktop,US,NA
4ce3061a,51cb708898534168,1/1/2019,2019,1,1/3/2019,2,Nintendo Switch,8d0d,168,website,direct,desktop,US,NA
53829dcd,ac2a952621136799,1/1/2019,2019,1,1/4/2019,3,Nintendo Switch,8d0d,139.04,website,direct,mobile,BR,LATAM
576f4fb0,67615df909638344,1/1/2019,2019,1,1/3/2019,2,JBL Quantum 100 Gaming Headset,ab0f,24.9,website,direct,desktop,GB,EMEA
576f4fb0,67615df909638345,1/1/2019,2019,1,1/3/2019,2,JBL Quantum 100 Gaming Headset,ab0f,24.9,website,direct,desktop,GB,EMEA
696dd2ce,d463f953b8445516,1/1/2019,2019,1,1/2/2019,1,JBL Quantum 100 Gaming Headset,ab0f,22.32,website,direct,desktop,NL,EMEA
86419a0e,fcca534afe557110,1/1/2019,2019,1,1/4/2019,3,Nintendo Switch,8d0d,168,website,direct,desktop,US,NA
ced93f5a,d39d482ce5d87394,1/1/2019,2019,1,1/3/2019,2,27in 4K gaming monitor,891b,394.38,website,affiliate,unknown,US,NA
9e979adc,fcd8c52dc7267021,1/1/2019,2019,1,1/2/2019,1,JBL Quantum 100 Gaming Headset,ab0f,21.94,website,direct,desktop,KR,APAC
af714af0,7fa34c00e9e74331,1/1/2019,2019,1,1/3/2019,2,Nintendo Switch,8d0d,168,website,direct,desktop,US,NA
c238ddfb,7b9b9a07f7c82204,1/1/2019,2019,1,1/4/2019,3,Nintendo Switch,b5f7,167.98,mobile app,direct,desktop,US,NA
e8ee5408,eec82758dda98372,1/1/2019,2019,1,1/3/2019,2,27in 4K gaming monitor,891b,358.46,website,social media,tablet,GB,EMEA
dd1794a5,96c80e286bf93413,1/1/2019,2019,1,1/3/2019,2,Nintendo Switch,8d0d,168,website,direct,mobile,US,NA
e12d652c,63c5d09516b95166,1/1/2019,2019,1,1/4/2019,3,Nintendo Switch,8d0d,162.7,website,direct,desktop,NO,EMEA
f03c9198,87c717c858f101534,1/1/2019,2019,1,1/4/2019,3,Nintendo Switch,8d0d,168,website,direct,desktop,BR,LATAM
fb67bd5f,778c83a0805106202,1/1/2019,2019,1,1/2/2019,1,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,BR,LATAM
eb40b7ef,bb0f98c51e933764,1/1/2019,2019,1,1/2/2019,1,27in 4k gaming monitor,2a50,361.86,mobile app,email,mobile,US,NA
3923724,fcccc67c00f133,1/2/2019,2019,1,1/5/2019,3,27in 4K gaming monitor,891b,359.56,website,direct,desktop,US,NA
0c9959a9,d8f3a724a868160,1/2/2019,2019,1,1/3/2019,1,27in 4K gaming monitor,891b,421.59,website,direct,desktop,DE,EMEA
172fd0f7,c89970027d712430,1/2/2019,2019,1,1/4/2019,2,27in 4K gaming monitor,891b,429.62,website,direct,desktop,CA,NA
9ccd5b38,71a5bec678e66310,1/2/2019,2019,1,1/5/2019,3,27in 4K gaming monitor,891b,283.61,website,direct,desktop,JP,APAC
3890c9a6,af944bf9f5c25901,1/2/2019,2019,1,1/5/2019,3,JBL Quantum 100 Gaming Headset,8315,24.38,mobile app,direct,desktop,US,NA
7cbd4da4,86c9494494e53296,1/2/2019,2019,1,1/5/2019,3,Nintendo Switch,8d0d,142.19,website,direct,desktop,AU,APAC
7e645434,85bf08f07c753991,1/2/2019,2019,1,1/4/2019,2,JBL Quantum 100 Gaming Headset,ab0f,21.57,website,direct,desktop,GB,EMEA
90aac7cc,5163f1618e361346,1/2/2019,2019,1,1/4/2019,2,Nintendo Switch,8e5d,168.94,mobile app,direct,desktop,US,NA
a68caffb,f228b74095f70582,1/2/2019,2019,1,1/3/2019,1,Nintendo Switch,8d0d,168,website,direct,desktop,US,NA
aa296799,67191ae8ed472137,1/2/2019,2019,1,1/4/2019,2,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,BR,LATAM
aa296799,67191ae8ed472138,1/2/2019,2019,1,1/4/2019,2,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,BR,LATAM
c248bb7c,90981c9212b82239,1/2/2019,2019,1,1/5/2019,3,JBL Quantum 100 Gaming Headset,8315,24.4,mobile app,email,mobile,US,NA
d884c9ce,688e335ac1e91468,1/2/2019,2019,1,1/5/2019,3,Lenovo IdeaPad Gaming 3,04ac,388.23,website,direct,desktop,TR,EMEA
d884c9ce,688e335ac1e91469,1/2/2019,2019,1,1/5/2019,3,Lenovo IdeaPad Gaming 3,04ac,388.23,website,direct,desktop,TR,EMEA
21d83cfa,dbccdddd28216764,1/3/2019,2019,1,1/4/2019,1,27in 4K gaming monitor,891b,315.22,website,direct,desktop,US,NA
154b8e5e,e9eb40a9af711655,1/3/2019,2019,1,1/4/2019,1,Nintendo Switch,8d0d,168,website,direct,desktop,US,NA
17a99419,f95ccbd9efe12601,1/3/2019,2019,1,1/6/2019,3,Nintendo Switch,8d0d,130.83,website,direct,desktop,DE,EMEA
28768f39,cbfde8785ae19361,1/3/2019,2019,1,1/5/2019,2,27in 4K gaming monitor,891b,313.29,website,direct,desktop,BE,EMEA
28768f39,cbfde8785ae19362,1/3/2019,2019,1,1/5/2019,2,27in 4K gaming monitor,891b,313.29,website,direct,desktop,BE,EMEA
42e59451,885178c52a830146,1/3/2019,2019,1,1/4/2019,1,27in 4K gaming monitor,891b,470.56,website,direct,desktop,GB,EMEA
59348b27,a488a0c101439016,1/3/2019,2019,1,1/4/2019,1,Nintendo Switch,8d0d,168,website,direct,mobile,US,NA
6aa78ed7,d289ddab80b46021,1/3/2019,2019,1,1/4/2019,1,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,NA
868c8912,f2a30b69db557229,1/3/2019,2019,1,1/5/2019,2,JBL Quantum 100 Gaming Headset,ab0f,22.52,website,direct,desktop,DE,EMEA
ab3a32b9,baabdb9cb5572601,1/3/2019,2019,1,1/4/2019,1,JBL Quantum 100 Gaming Headset,ab0f,19.39,website,direct,desktop,CA,NA
c4a52122,88a593333c383239,1/3/2019,2019,1,1/6/2019,3,Nintendo Switch,8d0d,168,website,direct,desktop,US,NA
d1996fe7,a45e4a3aced88490,1/3/2019,2019,1,1/5/2019,2,Nintendo Switch,8d0d,168,website,direct,mobile,US,NA
d811edac,c57fe20232a91294,1/3/2019,2019,1,1/5/2019,2,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,TH,APAC
dd7709bd,8ba7c78d19293581,1/3/2019,2019,1,1/5/2019,2,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,mobile,BR,LATAM
ee6f59de,b142c37b43b100723,1/3/2019,2019,1,1/4/2019,1,Nintendo Switch,8d0d,168,website,direct,desktop,US,NA
f4ad7399,af652d63651103402,1/3/2019,2019,1,1/6/2019,3,Nintendo Switch,8d0d,152.19,website,direct,mobile,JP,APAC
f4ad7399,af652d63651103403,1/3/2019,2019,1,1/6/2019,3,Nintendo Switch,8d0d,152.19,website,direct,mobile,JP,APAC
6926d544,862afb0fd0845391,1/4/2019,2019,1,1/6/2019,2,27in 4K gaming monitor,891b,312,website,direct,desktop,IS,EMEA
0c704ea4,ac38079a0d18085,1/4/2019,2019,1,1/6/2019,2,Nintendo Switch,8d0d,168,website,direct,mobile,US,NA
34ff61c8,ebd54ba802e24501,1/4/2019,2019,1,1/7/2019,3,Nintendo Switch,8d0d,168,website,direct,desktop,US,NA
4a37e991,debc0509bd233021,1/4/2019,2019,1,1/5/2019,1,Nintendo Switch,8d0d,168,website,direct,desktop,US,NA
600c3d3b,c1e3379f74341801,1/4/2019,2019,1,1/7/2019,3,JBL Quantum 100 Gaming Headset,ab0f,24.9,website,direct,desktop,GB,EMEA
7a3dc990,506e02bc2a252221,1/4/2019,2019,1,1/5/2019,1,27in 4K gaming monitor,891b,425.71,website,affiliate,unknown,ES,EMEA
