"user_id","country_code","region","marketing_channel","signup_method"
"02157f8f","IT","EMEA","Direct","Unknown"
"12fd4613","IT","EMEA","Direct","Mobile"
"32698d45","US","NA","Affiliate","Unknown"
"3b1cdc64","IT","EMEA","Direct","Desktop"
"892b37e6","US","NA","Affiliate","Unknown"
"4ce3061a","US","NA","Direct","Desktop"
"4ce3061a","US","NA","Direct","Desktop"
"53829dcd","BR","LATAM","Direct","Mobile"
"576f4fb0","GB","EMEA","Direct","Desktop"
"576f4fb0","GB","EMEA","Direct","Desktop"
"696dd2ce","NL","EMEA","Direct","Desktop"
"86419a0e","US","NA","Direct","Desktop"
"ced93f5a","US","NA","Affiliate","Unknown"
"9e979adc","KR","APAC","Direct","Desktop"
"af714af0","US","NA","Direct","Desktop"
"c238ddfb","US","NA","Direct","Desktop"
"e8ee5408","GB","EMEA","Social Media","Tablet"
"dd1794a5","US","NA","Direct","Mobile"
"e12d652c","NO","EMEA","Direct","Desktop"
"f03c9198","BR","LATAM","Direct","Desktop"
"fb67bd5f","BR","LATAM","Direct","Desktop"
"eb40b7ef","US","NA","Email","Mobile"
"3923724","US","NA","Direct","Desktop"
"0c9959a9","DE","EMEA","Direct","Desktop"
"172fd0f7","CA","NA","Direct","Desktop"
"9ccd5b38","JP","APAC","Direct","Desktop"
"3890c9a6","US","NA","Direct","Desktop"
"7cbd4da4","AU","APAC","Direct","Desktop"
"7e645434","GB","EMEA","Direct","Desktop"
"90aac7cc","US","NA","Direct","Desktop"
"a68caffb","US","NA","Direct","Desktop"
"aa296799","BR","LATAM","Direct","Desktop"
"aa296799","BR","LATAM","Direct","Desktop"
"c248bb7c","US","NA","Email","Mobile"
"d884c9ce","TR","EMEA","Direct","Desktop"
"d884c9ce","TR","EMEA","Direct","Desktop"
"21d83cfa","US","NA","Direct","Desktop"
"154b8e5e","US","NA","Direct","Desktop"
"17a99419","DE","EMEA","Direct","Desktop"
"28768f39","BE","EMEA","Direct","Desktop"
"28768f39","BE","EMEA","Direct","Desktop"
"42e59451","GB","EMEA","Direct","Desktop"
"59348b27","US","NA","Direct","Mobile"
"6aa78ed7","US","NA","Direct","Desktop"
"868c8912","DE","EMEA","Direct","Desktop"
"ab3a32b9","CA","NA","Direct","Desktop"
"c4a52122","US","NA","Direct","Desktop"
"d1996fe7","US","NA","Direct","Mobile"
"d811edac","TH","APAC","Direct","Desktop"
"dd7709bd","BR","LATAM","Direct","Mobile"
"ee6f59de","US","NA","Direct","Desktop"
"f4ad7399","JP","APAC","Direct","Mobile"
"f4ad7399","JP","APAC","Direct","Mobile"
"6926d544","IS","EMEA","Direct","Desktop"
"0c704ea4","US","NA","Direct","Mobile"
"34ff61c8","US","NA","Direct","Desktop"
"4a37e991","US","NA","Direct","Desktop"
"600c3d3b","GB","EMEA","Direct","Desktop"
"7a3dc990","ES","EMEA","Affiliate","Unknown"
"d6cb1465","US","NA","Direct","Desktop"
"89d89f44","CA","NA","Direct","Mobile"
"bb0fcf53","SE","EMEA","Direct","Desktop"
"bb0fcf53","SE","EMEA","Direct","Desktop"
"d75f8382","CA","NA","Direct","Desktop"
"19c01e18","US","NA","Direct","Desktop"
"1553048","US","NA","Direct","Desktop"
"1553048","US","NA","Direct","Desktop"
"16655be4","ES","EMEA","Direct","Desktop"
"33d0dc49","US","NA","Direct","Desktop"
"b283647b","JE","EMEA","Direct","Desktop"
"380cab49","KW","EMEA","Email","Mobile"
"46efc89b","CZ","EMEA","Direct","Desktop"
"5fc58846","US","NA","Direct","Desktop"
"7e20780f","US","NA","Affiliate","Unknown"
"7e20780f","US","NA","Affiliate","Unknown"
"86ecdfab","US","NA","Direct","Desktop"
"9d39178f","PT","EMEA","Direct","Desktop"
"a3119a10","US","NA","Direct","Desktop"
"bbfb5d46","CA","NA","Email","Mobile"
"c7e2a232","US","NA","Direct","Mobile"
"cd0dd376","US","NA","Direct","Desktop"
"d61d471b","BR","LATAM","Direct","Desktop"
"6dc8ebcb","US","NA","Direct","Desktop"
"15fcb402","KR","APAC","Direct","Desktop"
